"","Province_State","Country_Region","Date","Confirmed","Deaths","Recovered"
"500","WI","US",2020-03-11,6,0,1
"501","MN","US",2020-03-11,5,0,0
"502","NE","US",2020-03-11,5,0,0
"503","NH","US",2020-03-11,5,0,0
"504","RI","US",2020-03-11,5,0,0
"505","OH","US",2020-03-11,4,0,0
"506","CT","US",2020-03-11,3,0,0
"507","NM","US",2020-03-11,3,0,0
"508","UT","US",2020-03-11,3,0,0
"509","HI","US",2020-03-11,2,0,0
"510","MI","US",2020-03-11,2,0,0
"511","OK","US",2020-03-11,2,0,0
"512","AR","US",2020-03-11,1,0,0
"513","DE","US",2020-03-11,1,0,0
"514","KS","US",2020-03-11,1,0,0
"515","MO","US",2020-03-11,1,0,0
"516","MT","US",2020-03-11,1,0,0
"517","VT","US",2020-03-11,1,0,0
"518","AK","US",2020-03-11,0,0,0
"519","ID","US",2020-03-11,0,0,0
"520","ME","US",2020-03-11,0,0,0
"521","MS","US",2020-03-11,0,0,0
"522","ND","US",2020-03-11,0,0,0
"523","WV","US",2020-03-11,0,0,0
"524","WY","US",2020-03-11,0,0,0
"525","WA","US",2020-03-12,442,31,1
"526","NY","US",2020-03-12,328,0,0
"527","CA","US",2020-03-12,221,4,6
"528","MA","US",2020-03-12,108,0,1
"529","CO","US",2020-03-12,45,0,0
"530","FL","US",2020-03-12,35,2,0
"531","IL","US",2020-03-12,32,0,2
"532","GA","US",2020-03-12,31,1,0
"533","NJ","US",2020-03-12,29,1,0
"534","TX","US",2020-03-12,27,0,0
"535","OR","US",2020-03-12,24,0,0
"536","PA","US",2020-03-12,22,0,0
"537","LA","US",2020-03-12,19,0,0
"538","TN","US",2020-03-12,18,0,0
"539","VA","US",2020-03-12,17,0,0
"540","IA","US",2020-03-12,16,0,0
"541","NC","US",2020-03-12,15,0,0
"542","NV","US",2020-03-12,14,0,0
"543","IN","US",2020-03-12,13,0,0
"544","MD","US",2020-03-12,12,0,0
"545","SC","US",2020-03-12,12,0,0
"546","DC","US",2020-03-12,10,0,0
"547","KY","US",2020-03-12,10,0,0
"548","NE","US",2020-03-12,10,0,0
"549","AZ","US",2020-03-12,9,0,1
"550","MN","US",2020-03-12,9,0,0
"551","SD","US",2020-03-12,8,1,0
"552","WI","US",2020-03-12,8,0,1
"553","AR","US",2020-03-12,6,0,0
"554","NH","US",2020-03-12,6,0,0
"555","CT","US",2020-03-12,5,0,0
"556","NM","US",2020-03-12,5,0,0
"557","OH","US",2020-03-12,5,0,0
"558","RI","US",2020-03-12,5,0,0
"559","UT","US",2020-03-12,5,0,0
"560","HI","US",2020-03-12,2,0,0
"561","MI","US",2020-03-12,2,0,0
"562","OK","US",2020-03-12,2,0,0
"563","VT","US",2020-03-12,2,0,0
"564","DE","US",2020-03-12,1,0,0
"565","KS","US",2020-03-12,1,0,0
"566","MS","US",2020-03-12,1,0,0
"567","MO","US",2020-03-12,1,0,0
"568","MT","US",2020-03-12,1,0,0
"569","ND","US",2020-03-12,1,0,0
"570","WY","US",2020-03-12,1,0,0
"571","AK","US",2020-03-12,0,0,0
"572","ID","US",2020-03-12,0,0,0
"573","ME","US",2020-03-12,0,0,0
"574","WV","US",2020-03-12,0,0,0
"575","AL","US",2020-03-13,5,0,0
"576","AK","US",2020-03-13,1,0,0
"577","AZ","US",2020-03-13,9,0,1
"578","AR","US",2020-03-13,6,0,0
"579","CA","US",2020-03-13,282,4,6
"580","CO","US",2020-03-13,49,0,0
"581","CT","US",2020-03-13,11,0,0
"582","DE","US",2020-03-13,4,0,0
"583","DC","US",2020-03-13,10,0,0
"584","FL","US",2020-03-13,50,2,0
"585","GA","US",2020-03-13,42,1,0
"586","HI","US",2020-03-13,2,0,0
"587","ID","US",2020-03-13,1,0,0
"588","IL","US",2020-03-13,46,0,2
"589","IN","US",2020-03-13,13,0,0
"590","IA","US",2020-03-13,17,0,0
"591","KS","US",2020-03-13,5,1,0
"592","KY","US",2020-03-13,14,0,0
"593","LA","US",2020-03-13,36,0,0
"594","ME","US",2020-03-13,1,0,0
"595","MD","US",2020-03-13,18,0,0
"596","MA","US",2020-03-13,123,0,1
"597","MI","US",2020-03-13,16,0,0
"598","MN","US",2020-03-13,14,0,0
"599","MS","US",2020-03-13,1,0,0
"600","MO","US",2020-03-13,2,0,0
"601","MT","US",2020-03-13,1,0,0
"602","NE","US",2020-03-13,13,0,0
"603","NV","US",2020-03-13,17,0,0
"604","NH","US",2020-03-13,6,0,0
"605","NJ","US",2020-03-13,29,1,0
"606","NM","US",2020-03-13,10,0,0
"607","NY","US",2020-03-13,421,0,0
"608","NC","US",2020-03-13,17,0,0
"609","ND","US",2020-03-13,1,0,0
"610","OH","US",2020-03-13,13,0,0
"611","OK","US",2020-03-13,2,0,0
"612","OR","US",2020-03-13,30,0,0
"613","PA","US",2020-03-13,41,0,0
"614","RI","US",2020-03-13,14,0,0
"615","SC","US",2020-03-13,13,0,0
"616","SD","US",2020-03-13,8,1,0
"617","TN","US",2020-03-13,26,0,0
"618","TX","US",2020-03-13,43,0,0
"619","UT","US",2020-03-13,9,0,0
"620","VT","US",2020-03-13,2,0,0
"621","VA","US",2020-03-13,30,0,0
"622","WA","US",2020-03-13,568,37,1
"623","WV","US",2020-03-13,0,0,0
"624","WI","US",2020-03-13,19,0,1
"625","WY","US",2020-03-13,1,0,0
"626","WA","US",2020-03-14,572,37,1
"627","NY","US",2020-03-14,525,2,0
"628","CA","US",2020-03-14,340,5,6
"629","MA","US",2020-03-14,138,0,1
"630","CO","US",2020-03-14,101,1,0
"631","LA","US",2020-03-14,77,1,0
"632","FL","US",2020-03-14,76,3,0
"633","NJ","US",2020-03-14,69,1,0
"634","GA","US",2020-03-14,66,1,0
"635","IL","US",2020-03-14,64,0,2
"636","TX","US",2020-03-14,57,0,0
"637","PA","US",2020-03-14,47,0,0
"638","VA","US",2020-03-14,41,1,0
"639","OR","US",2020-03-14,32,0,0
"640","TN","US",2020-03-14,32,0,0
